Hora,Tasa_pedidos_por_hora
0,0.14
1,0.1
2,0.11
3,0.12
4,0.12
5,0.1
6,0.1
7,0.1
8,0.15
9,0.13
10,0.17
11,0.12
12,0.16
13,0.09
14,0.12
15,0.12
16,0.12
17,0.1
18,0.13
19,0.1
20,0.11
21,0.13
22,0.14
23,0.12
