escenario,replica,tiempo_espera_promedio,prob_retraso,utilizacion,pedidos_atendidos,pedidos_retrasados,num_fallos,costo_total
E1_base_x50,4,0.0,0.9303030303030303,0.10221415010380035,990,921,237,121650000.0
E1_base_x50,4,0.0,0.26434426229508196,0.1020973144994127,976,258,230,88500000.0
E1_base_x50,4,0.0,0.26147704590818366,0.10221017005626622,1002,262,225,88700000.0
E1_base_x50,5,0.0,0.9124748490945674,0.10183755216251732,994,907,232,120950000.0
E1_base_x50,5,0.0,0.2787046123650638,0.10254792394511979,1019,284,240,89800000.0
E1_base_x50,5,0.0,0.2410623084780388,0.10209410166287912,979,236,224,87400000.0
E1_base_x50,6,0.0,0.9220512820512821,0.1020027808608428,975,899,248,120550000.0
E1_base_x50,6,0.0,0.27750247770069375,0.10201561978146612,1009,280,229,89600000.0
E1_base_x50,6,0.0,0.27916251246261214,0.10220412223269172,1003,280,230,89600000.0
E1_base_x50,7,0.0,0.9048525214081827,0.10213472907584006,1051,951,221,123150000.0
E1_base_x50,7,0.0,0.28031037827352084,0.1019099700334963,1031,289,252,90050000.0
E1_base_x50,7,0.0,0.2807192807192807,0.10230793886186872,1001,281,232,89650000.0
E1_base_x50,8,0.0,0.9215876089060987,0.10227716435118343,1033,952,228,123200000.0
E1_base_x50,8,0.0,0.2650356778797146,0.10215747549307372,981,260,229,88600000.0
E1_base_x50,8,0.0,0.28390596745027125,0.10294574999931659,1106,314,270,91300000.0
E1_base_x50,9,0.0,0.9171597633136095,0.10178573875165961,1014,930,232,122100000.0
E1_base_x50,9,0.0,0.2735294117647059,0.10221615182349376,1020,279,212,89550000.0
E1_base_x50,9,0.0,0.27883650952858574,0.10210221168848227,997,278,233,89500000.0
E1_base_x50,10,0.0,0.9221556886227545,0.10218450618076318,1002,924,218,121800000.0
E1_base_x50,10,0.0,0.2387295081967213,0.10178155108980975,976,233,225,87250000.0
E1_base_x50,10,0.0,0.2372718539865514,0.10212751428241044,1041,247,246,87950000.0
E1_base_x50,11,0.0,0.9319271332694151,0.10268270088205363,1043,972,233,124200000.0
E1_base_x50,11,0.0,0.28642220019821607,0.10195027851458188,1009,289,219,90050000.0
E1_base_x50,11,0.0,0.248234106962664,0.10194005067958949,991,246,229,87900000.0
E1_base_x50,12,0.0,0.9186834462729913,0.10230332421690783,1033,949,241,123050000.0
E1_base_x50,12,0.0,0.28169014084507044,0.10194161475020176,994,280,211,89600000.0
E1_base_x50,12,0.0,0.2701271186440678,0.10166134950650882,944,255,209,88350000.0
E1_base_x50,13,0.0,0.9119318181818182,0.10239152901080728,1056,963,252,123750000.0
E1_base_x50,13,0.0,0.248565965583174,0.10198118204381154,1046,260,227,88600000.0
E1_base_x50,13,0.0,0.2760223048327137,0.10245075668674095,1076,297,263,90450000.0
E1_base_x50,14,0.0,0.9142300194931774,0.10242052424696586,1026,938,251,122500000.0
E1_base_x50,14,0.0,0.2810077519379845,0.10206955684345793,1032,290,274,90100000.0
E1_base_x50,14,0.0,0.2624113475177305,0.10201717265224318,987,259,248,88550000.0
E1_base_x50,15,0.0,0.9093484419263456,0.10251105335101257,1059,963,243,123750000.0
E1_base_x50,15,0.0,0.2760041194644696,0.1016852731084245,971,268,238,89000000.0
E1_base_x50,15,0.0,0.26812313803376364,0.10202130671743412,1007,270,233,89100000.0
E1_base_x50,16,0.0,0.9161849710982659,0.10228780600205023,1038,951,239,123150000.0
E1_base_x50,16,0.0,0.27405247813411077,0.10240577225585612,1029,282,266,89700000.0
E1_base_x50,16,0.0,0.2575187969924812,0.10222821146976145,1064,274,233,89300000.0
E1_base_x50,17,0.0,0.9266144814090019,0.10217057164473174,1022,947,254,122950000.0
E1_base_x50,17,0.0,0.26161616161616164,0.10198749772475325,990,259,222,88550000.0
E1_base_x50,17,0.0,0.2978936810431294,0.10214302190414443,997,297,236,90450000.0
E1_base_x50,18,0.0,0.9116465863453815,0.10207249912803333,996,908,222,121000000.0
E1_base_x50,18,0.0,0.26506024096385544,0.10181347060286075,996,264,251,88800000.0
E1_base_x50,18,0.0,0.2747791952894995,0.10223794205297805,1019,280,250,89600000.0
E1_base_x50,19,0.0,0.910295616717635,0.10202965269510059,981,893,211,120250000.0
E1_base_x50,19,0.0,0.2665350444225074,0.10206580282078243,1013,270,222,89100000.0
E1_base_x50,19,0.0,0.27479338842975204,0.10194770921843523,968,266,216,88900000.0
E1_base_x50,20,0.0,0.90992835209826,0.10201184878843142,977,889,245,120050000.0
E1_base_x50,20,0.0,0.25303643724696356,0.10230204985921547,988,250,226,88100000.0
E1_base_x50,20,0.0,0.27414330218068533,0.10223276675332992,963,264,237,88800000.0
E1_base_x50,21,0.0,0.9073891625615763,0.10190474758354816,1015,921,201,121650000.0
E1_base_x50,21,0.0,0.25601539942252166,0.10247687307322847,1039,266,215,88900000.0
E1_base_x50,21,0.0,0.25341745531019977,0.10177046374345221,951,241,253,87650000.0
E1_base_x50,22,0.0,0.9292307692307692,0.1021066731880603,975,906,214,120900000.0
E1_base_x50,22,0.0,0.2732447817836812,0.10268957340842914,1054,288,234,90000000.0
E1_base_x50,22,0.0,0.2677165354330709,0.10243977935406075,1016,272,231,89200000.0
E1_base_x50,23,0.0,0.9256120527306968,0.10251005146284381,1062,983,260,124750000.0
E1_base_x50,23,0.0,0.2492179353493222,0.10169836171135659,959,239,216,87550000.0
E1_base_x50,23,0.0,0.27507447864945384,0.10217069872111553,1007,277,231,89450000.0
E1_base_x50,24,0.0,0.916076845298281,0.10195951962991287,989,906,252,120900000.0
E1_base_x50,24,0.0,0.27342995169082124,0.10229030283200587,1035,283,255,89750000.0
E1_base_x50,24,0.0,0.2724580454096742,0.10255366184131358,1013,276,231,89400000.0
E1_base_x50,25,0.0,0.9189443920829407,0.10231630038032309,1061,975,269,124350000.0
E1_base_x50,25,0.0,0.2621951219512195,0.10194406191232033,984,258,223,88500000.0
E1_base_x50,25,0.0,0.27176015473887816,0.1025828833493067,1034,281,241,89650000.0
E1_base_x50,26,0.0,0.9139676113360324,0.10187966305836463,988,903,220,120750000.0
E1_base_x50,26,0.0,0.28462273161413565,0.10245602468286022,1047,298,245,90500000.0
E1_base_x50,26,0.0,0.2799597180261833,0.10209843860292574,993,278,238,89500000.0
E1_base_x50,27,0.0,0.9428007889546351,0.10193774858900018,1014,956,265,123400000.0
E1_base_x50,27,0.0,0.2759315206445116,0.10200718711899152,993,274,244,89300000.0
E1_base_x50,27,0.0,0.2852941176470588,0.10219773644355752,1020,291,242,90150000.0
E1_base_x50,28,0.0,0.9135082604470359,0.10204184828729781,1029,940,251,122600000.0
E1_base_x50,28,0.0,0.26635514018691586,0.10227092270427209,1070,285,240,89850000.0
E1_base_x50,28,0.0,0.28121927236971483,0.10189903621488654,1017,286,248,89900000.0
E1_base_x50,29,0.0,0.9125628140703518,0.10187951944576934,995,908,232,121000000.0
E1_base_x50,29,0.0,0.2735294117647059,0.10238785065673439,1020,279,259,89550000.0
E1_base_x50,29,0.0,0.2795477903391572,0.10210988001548872,973,272,227,89200000.0
E1_base_x50,30,0.0,0.9180990899898888,0.10174326423098773,989,908,211,121000000.0
E1_base_x50,30,0.0,0.2890995260663507,0.10242818678469129,1055,305,248,90850000.0
E1_base_x50,30,0.0,0.27490421455938696,0.1022923226860398,1044,287,246,89950000.0
E2_menos_camiones,1,0.0,0.8,0.12216691896298552,10,8,1,34000.0
E2_menos_camiones,1,0.0,0.9285714285714286,0.1193835258321036,28,26,7,34900.0
E2_menos_camiones,2,0.0,0.9473684210526315,0.12104896051868906,19,18,8,34500.0
E2_menos_camiones,2,0.0,1.0,0.1232197014571058,17,17,3,34450.0
E2_menos_camiones,3,0.0,0.9444444444444444,0.12097229703384538,18,17,4,34450.0
E2_menos_camiones,3,0.0,0.8181818181818182,0.12009694010415031,11,9,2,34050.0
E2_menos_camiones,4,0.0,0.85,0.12478590467673763,20,17,5,34450.0
E2_menos_camiones,4,0.0,1.0,0.1243991985556897,16,16,2,34400.0
E2_menos_camiones,5,0.0,0.9047619047619048,0.11509556120971405,21,19,5,34550.0
E2_menos_camiones,5,0.0,0.95,0.12417217300824293,20,19,3,34550.0
E2_menos_camiones,6,0.0,0.8823529411764706,0.12397454066055322,17,15,4,34350.0
E2_menos_camiones,6,0.0,0.85,0.12167166917415805,20,17,3,34450.0
E2_menos_camiones,7,0.0,0.8275862068965517,0.11590165638076623,29,24,9,34800.0
E2_menos_camiones,7,0.0,0.9285714285714286,0.11309244953901858,14,13,4,34250.0
E2_menos_camiones,8,0.0,0.8421052631578947,0.11560370498388657,19,16,5,34400.0
E2_menos_camiones,8,0.0,0.9411764705882353,0.11175177269682691,17,16,3,34400.0
E2_menos_camiones,9,0.0,0.9545454545454546,0.12057120876650472,22,21,4,34650.0
E2_menos_camiones,9,0.0,0.9411764705882353,0.12255451816219907,17,16,2,34400.0
E2_menos_camiones,10,0.0,0.9,0.12295685100839479,20,18,4,34500.0
E2_menos_camiones,10,0.0,1.0,0.12492968116997726,25,25,8,34850.0
E2_menos_camiones,11,0.0,1.0,0.11283641822288026,21,21,5,34650.0
E2_menos_camiones,11,0.0,0.8421052631578947,0.12301842980283743,19,16,5,34400.0
E2_menos_camiones,12,0.0,0.875,0.12192860955991577,16,14,6,34300.0
E2_menos_camiones,12,0.0,0.9444444444444444,0.11547812629144578,18,17,9,34450.0
E2_menos_camiones,13,0.0,0.9523809523809523,0.1225889414898694,21,20,4,34600.0
E2_menos_camiones,13,0.0,0.7692307692307693,0.10150903379146878,13,10,2,34100.0
E2_menos_camiones,14,0.0,0.9090909090909091,0.0993124429141361,11,10,3,34100.0
E2_menos_camiones,14,0.0,1.0,0.11560389252946505,22,22,6,34700.0
E2_menos_camiones,15,0.0,0.8636363636363636,0.12043027900403068,22,19,4,34550.0
E2_menos_camiones,15,0.0,0.9090909090909091,0.11973494187286965,22,20,5,34600.0
E2_menos_camiones,16,0.0,0.8421052631578947,0.12240589462786687,19,16,4,34400.0
E2_menos_camiones,16,0.0,0.8571428571428571,0.11747105108380519,21,18,3,34500.0
E2_menos_camiones,17,0.0,0.8888888888888888,0.1176860910478158,18,16,6,34400.0
E2_menos_camiones,17,0.0,0.9444444444444444,0.11949948465218586,18,17,4,34450.0
E2_menos_camiones,18,0.0,0.7647058823529411,0.11790848166713877,17,13,3,34250.0
E2_menos_camiones,18,0.0,0.9523809523809523,0.12215171690804404,21,20,2,34600.0
E2_menos_camiones,19,0.0,0.9444444444444444,0.12270222156502032,18,17,3,34450.0
E2_menos_camiones,19,0.0,0.9285714285714286,0.12425520602096686,14,13,3,34250.0
E2_menos_camiones,20,0.0,0.95,0.12445964254524503,20,19,5,34550.0
E2_menos_camiones,20,0.0,0.8823529411764706,0.12240069589012215,17,15,6,34350.0
